source,target,orientation
r144,p994,82
r144,p995,560
r144,p999,634
r145,p1167,441
r145,p1168,563
r145,p1169,599
r145,p1170,635
r145,p1171,643
r145,p274,349
r145,p303,430
r145,p422,71
r145,p461,96
r145,p72,695
r145,p988,349
r145,p989,514
r145,p990,643
r146,p13,706
r146,p257,696
r146,p310,634
r146,p436,224
r147,p323,158
r147,p424,430
r147,p50,224
r148,p120,80
r149,p13,706
r149,p165,514
r149,p166,634
r149,p195,156
r149,p222,706
r149,p224,635
r149,p257,696
r149,p310,634
r149,p327,635
r149,p331,430
r149,p375,187
r149,p436,224
r149,p462,706
r149,p84,696
r15,p265,643
r15,p270,611
r15,p991,430
r15,p992,80
r15,p993,156
r152,p274,349
r152,p303,430
r152,p461,96
r152,p473,634
r152,p476,130
r152,p494,96
r152,p986,695
r153,p273,80
r154,p381,706
r154,p74,80
r155,p279,130
r155,p367,706
r155,p431,80
r157,p303,430
r157,p461,96
r159,p32,430
r159,p428,560
r159,p988,349
r16,p279,130
r16,p367,706
r16,p431,80
r16,p923,706
r16,p925,80
r160,p436,224
r161,p257,696
r161,p27,515
r161,p310,634
r161,p323,158
r161,p50,224
r162,p928,80
r164,p328,706
r165,p186,80
r165,p190,80
r166,p186,80
r166,p187,80
r166,p361,312
r168,p427,80
r169,p550,706
r17,p244,634
r17,p27,515
r17,p279,130
r17,p310,634
r17,p359,441
r17,p363,696
r17,p431,80
r17,p443,706
r171,p165,514
r171,p289,643
r171,p395,156
r171,p917,80
r172,p289,643
r172,p436,224
r173,p207,80
r173,p226,349
r173,p241,96
r173,p260,514
r173,p359,441
r175,p289,643
r175,p329,706
r175,p408,156
r175,p49,156
r176,p1174,706
r176,p1175,706
r176,p140,441
r176,p233,515
r176,p257,696
r176,p27,515
r176,p279,130
r176,p289,643
r176,p323,158
r176,p408,156
r176,p431,80
r176,p50,224
r177,p115,156
r177,p171,514
r177,p238,80
r177,p378,80
r177,p402,706
r177,p44,695
r177,p83,634
r179,p11,80
r179,p151,80
r18,p395,156
r18,p99,634
r180,p11,80
r180,p151,80
r181,p141,80
r182,p431,80
r183,p461,96
r184,p1167,441
r184,p1168,563
r184,p1169,599
r184,p1170,635
r184,p1171,643
r184,p274,349
r184,p303,430
r184,p461,96
r184,p72,695
r184,p988,349
r184,p989,514
r184,p990,643
r185,p279,130
r185,p367,706
r185,p431,80
r186,p13,706
r186,p166,634
r186,p257,696
r186,p289,643
r186,p329,706
r186,p436,224
r189,p1120,71
r189,p1139,156
r189,p151,80
r190,p458,80
r190,p68,80
r191,p151,80
r191,p739,634
r192,p165,514
r192,p195,156
r192,p327,635
r194,p33,634
r194,p52,634
r195,p395,156
r195,p49,156
r195,p99,634
r196,p166,634
r196,p436,224
r197,p483,448
r197,p513,171
r198,p125,80
r20,p120,80
r20,p1204,634
r20,p135,80
r20,p745,695
r20,p857,634
r200,p858,80
r202,p140,441
r202,p233,515
r202,p27,515
r202,p323,158
r202,p50,224
r203,p244,634
r203,p359,441
r203,p443,706
r204,p1203,514
r204,p74,80
r205,p11,80
r205,p151,80
r206,p61,130
r207,p13,706
r207,p241,96
r207,p257,696
r207,p331,430
r207,p436,224
r21,p1061,514
r21,p539,130
r211,p774,643
r211,p779,573
r212,p125,80
r214,p395,156
r214,p99,634
r215,p243,643
r218,p441,80
r218,p571,80
r220,p109,158
r221,p151,80
r221,p641,158
r222,p655,80
r223,p427,80
r225,p68,80
r226,p140,441
r226,p166,634
r226,p233,515
r226,p257,696
r226,p27,515
r226,p279,130
r226,p289,643
r226,p323,158
r226,p408,156
r226,p431,80
r226,p50,224
r227,p784,80
r227,p82,156
r228,p125,80
r229,p13,706
r229,p165,514
r229,p279,130
r229,p289,643
r229,p431,80
r229,p436,224
r229,p461,96
r229,p50,224
r23,p182,573
r23,p261,643
r23,p420,643
r23,p440,643
r23,p450,80
r23,p555,635
r230,p460,80
r231,p144,706
r233,p292,706
r234,p11,80
r234,p151,80
r235,p853,599
r237,p26,80
r237,p301,96
r239,p1162,643
r239,p1163,685
r24,p280,156
r24,p425,130
r24,p547,706
r24,p7,96
r240,p190,80
r241,p109,158
r243,p166,634
r243,p395,156
r243,p462,706
r243,p614,706
r243,p99,634
r244,p140,441
r244,p233,515
r244,p27,515
r244,p323,158
r244,p50,224
r245,p11,80
r245,p151,80
r246,p165,514
r246,p195,156
r246,p327,635
r248,p151,80
r25,p27,515
r25,p323,158
r25,p50,224
r251,p61,130
r252,p1016,82
r252,p11,80
r252,p141,80
r252,p151,80
r252,p202,44
r252,p529,349
r252,p815,706
r252,p855,635
r253,p289,643
r253,p329,706
r253,p408,156
r253,p49,156
r254,p460,80
r255,p277,224
r256,p107,643
r256,p15,643
r256,p201,643
r256,p202,44
r256,p286,312
r256,p287,441
r256,p390,13
r256,p434,156
r256,p527,695
r258,p289,643
r258,p329,706
r258,p395,156
r258,p99,634
r26,p103,158
r26,p1149,171
r26,p1150,127
r260,p989,514
r261,p321,80
r261,p68,80
r262,p11,80
r262,p151,80
r262,p429,441
r262,p609,80
r262,p647,224
r263,p401,80
r263,p723,515
r263,p919,706
r265,p244,634
r265,p359,441
r265,p443,706
r266,p395,156
r266,p99,634
r267,p687,80
r267,p718,80
r269,p1023,634
r269,p114,695
r269,p259,156
r269,p496,80
r269,p497,695
r269,p636,80
r269,p675,634
r269,p690,158
r269,p8,96
r27,p49,156
r27,p695,567
r270,p460,80
r271,p74,80
r272,p1152,643
r272,p140,441
r272,p233,515
r272,p242,706
r272,p249,634
r272,p27,515
r272,p289,643
r272,p323,158
r272,p329,706
r272,p408,156
r272,p50,224
r272,p994,82
r272,p999,634
r273,p13,706
r273,p242,706
r273,p436,224
r274,p74,80
r276,p1154,349
r276,p1155,643
r276,p1156,706
r276,p449,706
r276,p590,567
r277,p187,80
r277,p316,156
r278,p165,514
r279,p460,80
r28,p190,80
r280,p136,706
r280,p547,706
r280,p7,96
r281,p328,706
r281,p638,80
r282,p186,80
r282,p190,80
r282,p517,695
r282,p753,643
r284,p137,130
r284,p418,130
r286,p186,80
r287,p280,156
r287,p547,706
r287,p697,643
r287,p7,96
r287,p766,430
r288,p359,441
r288,p443,706
r288,p91,96
r289,p347,634
r29,p65,706
r290,p165,514
r290,p166,634
r290,p257,696
r290,p289,643
r290,p310,634
r290,p431,80
r291,p424,430
r292,p363,696
r292,p471,130
r292,p585,96
r292,p738,634
r292,p987,635
r293,p109,158
r293,p204,643
r293,p249,634
r293,p277,224
r293,p403,430
r293,p431,80
r293,p49,156
r293,p941,130
r293,p994,82
r293,p995,560
r293,p996,515
r293,p997,567
r293,p998,349
r293,p999,634
r294,p74,80
r295,p165,514
r295,p289,643
r295,p327,635
r295,p329,706
r295,p395,156
r295,p408,156
r295,p99,634
r296,p166,634
r296,p264,140
r296,p375,187
r296,p462,706
r298,p116,695
r299,p219,80
r3,p147,12
r3,p171,514
r3,p319,224
r3,p325,573
r3,p454,349
r3,p531,706
r300,p1164,130
r300,p1165,187
r300,p1166,634
r300,p1486,643
r300,p1487,130
r300,p1488,643
r300,p1489,695
r300,p1490,80
r300,p247,156
r300,p424,430
r300,p494,96
r300,p495,706
r300,p917,80
r300,p986,695
r301,p458,80
r301,p68,80
r302,p34,695
r303,p13,706
r303,p257,696
r303,p289,643
r303,p329,706
r303,p436,224
r303,p49,156
r304,p109,158
r307,p1167,441
r307,p1168,563
r307,p1169,599
r307,p1170,635
r307,p1171,643
r307,p274,349
r307,p303,430
r307,p461,96
r307,p72,695
r307,p988,349
r307,p989,514
r307,p990,643
r309,p427,80
r31,p59,695
r310,p381,706
r310,p460,80
r310,p74,80
r311,p1167,441
r311,p1168,563
r311,p1169,599
r311,p1170,635
r311,p1171,643
r311,p274,349
r311,p303,430
r311,p461,96
r311,p72,695
r311,p988,349
r311,p989,514
r311,p990,643
r312,p125,80
r312,p592,448
r313,p165,514
r313,p289,643
r315,p1030,156
r315,p427,80
r316,p184,80
r316,p290,441
r317,p165,514
r317,p257,696
r317,p279,130
r317,p289,643
r317,p327,635
r317,p329,706
r317,p375,187
r317,p408,156
r317,p436,224
r317,p462,706
r318,p1161,158
r318,p165,514
r318,p195,156
r318,p327,635
r32,p115,156
r32,p238,80
r32,p378,80
r32,p402,706
r32,p44,695
r32,p83,634
r320,p381,706
r322,p184,80
r322,p312,634
r323,p244,634
r323,p359,441
r323,p443,706
r325,p289,643
r325,p329,706
r325,p408,156
r326,p244,634
r326,p359,441
r326,p443,706
r328,p11,80
r328,p151,80
r33,p289,643
r33,p329,706
r330,p13,706
r330,p165,514
r330,p166,634
r330,p195,156
r330,p222,706
r330,p224,635
r330,p257,696
r330,p310,634
r330,p327,635
r330,p331,430
r330,p375,187
r330,p380,187
r330,p436,224
r330,p462,706
r330,p84,696
r331,p140,441
r331,p233,515
r331,p257,696
r331,p27,515
r331,p279,130
r331,p323,158
r331,p431,80
r331,p50,224
r333,p100,634
r333,p176,634
r333,p363,696
r333,p367,706
r333,p424,430
r334,p1140,351
r334,p90,187
r335,p320,80
r336,p176,634
r336,p323,158
r336,p424,430
r338,p116,695
r338,p120,80
r339,p424,430
r340,p247,156
r340,p917,80
r341,p13,706
r341,p165,514
r341,p166,634
r341,p195,156
r341,p222,706
r341,p257,696
r341,p289,643
r341,p310,634
r341,p327,635
r341,p329,706
r341,p331,430
r341,p375,187
r341,p436,224
r342,p109,158
r342,p20,80
r344,p329,706
r344,p367,706
r345,p11,80
r345,p151,80
r345,p238,80
r346,p109,158
r347,p165,514
r347,p257,696
r347,p289,643
r347,p369,643
r347,p61,130
r348,p242,706
r348,p362,96
r348,p453,634
r348,p461,96
r349,p109,158
r35,p431,80
r350,p102,643
r350,p423,706
r350,p63,706
r351,p176,634
r352,p59,695
r353,p676,156
r355,p582,156
r356,p292,706
r357,p1173,82
r357,p519,430
r357,p666,71
r357,p728,96
r357,p746,351
r358,p917,80
r359,p427,80
r36,p166,634
r36,p224,635
r36,p264,140
r36,p369,643
r36,p375,187
r36,p462,706
r360,p109,158
r362,p145,706
r362,p606,12
r362,p923,706
r362,p925,80
r363,p50,224
r364,p458,80
r364,p571,80
r364,p68,80
r365,p11,80
r365,p151,80
r366,p11,80
r366,p151,80
r367,p125,80
r368,p274,349
r368,p303,430
r368,p461,96
r368,p473,634
r368,p476,130
r368,p494,96
r368,p986,695
r369,p11,80
r369,p120,80
r369,p141,80
r369,p1484,706
r369,p151,80
r369,p20,80
r369,p710,96
r37,p427,80
r370,p34,695
r371,p115,156
r371,p378,80
r371,p44,695
r371,p83,634
r372,p13,706
r372,p165,514
r372,p195,156
r372,p327,635
r372,p84,696
r373,p443,706
r374,p323,158
r374,p50,224
r375,p103,158
r375,p280,156
r375,p547,706
r375,p671,695
r375,p697,643
r375,p7,96
r376,p281,706
r376,p384,158
r377,p233,515
r377,p27,515
r377,p323,158
r377,p50,224
r378,p424,430
r378,p50,224
r379,p150,695
r379,p262,706
r380,p244,634
r380,p359,441
r380,p443,706
r381,p11,80
r381,p151,80
r382,p853,599
r382,p855,635
r382,p989,514
r382,p990,643
r383,p1184,706
r383,p184,80
r383,p312,634
r383,p515,96
r384,p103,158
r385,p75,80
r385,p79,634
r389,p1167,441
r389,p1168,563
r389,p1169,599
r389,p1170,635
r389,p1171,643
r389,p303,430
r389,p422,71
r389,p461,96
r389,p72,695
r389,p988,349
r389,p989,514
r389,p990,643
r39,p116,695
r39,p365,695
r39,p403,430
r390,p1376,643
r390,p242,706
r390,p289,643
r390,p380,187
r390,p436,224
r390,p622,156
r392,p321,80
r392,p460,80
r393,p140,441
r393,p233,515
r393,p27,515
r393,p323,158
r393,p50,224
r394,p204,643
r394,p242,706
r394,p244,634
r394,p359,441
r394,p443,706
r394,p564,80
r395,p365,695
r396,p395,156
r396,p99,634
r397,p1167,441
r397,p1168,563
r397,p1169,599
r397,p1170,635
r397,p1171,643
r397,p274,349
r397,p303,430
r397,p461,96
r397,p72,695
r397,p988,349
r397,p989,514
r397,p990,643
r398,p247,156
r398,p257,696
r399,p244,634
r399,p359,441
r399,p443,706
r4,p328,706
r401,p13,706
r401,p242,706
r401,p436,224
r402,p1151,643
r402,p409,156
r405,p460,80
r406,p11,80
r406,p151,80
r407,p103,158
r407,p1149,171
r407,p1150,127
r408,p61,130
r409,p396,80
r41,p1001,634
r41,p297,695
r41,p328,706
r410,p109,158
r411,p184,80
r411,p312,634
r412,p11,80
r412,p151,80
r413,p395,156
r414,p167,685
r414,p96,634
r416,p34,695
r419,p125,80
r42,p291,13
r42,p318,634
r42,p362,96
r42,p453,634
r42,p461,96
r420,p320,80
r421,p161,706
r421,p290,441
r421,p341,156
r421,p740,96
r422,p176,634
r423,p460,80
r424,p1167,441
r424,p1168,563
r424,p1169,599
r424,p1170,635
r424,p1171,643
r424,p274,349
r424,p303,430
r424,p422,71
r424,p461,96
r424,p72,695
r424,p988,349
r424,p989,514
r424,p990,643
r425,p128,695
r425,p267,643
r425,p363,696
r425,p428,560
r425,p461,96
r426,p244,634
r426,p359,441
r426,p443,706
r427,p143,80
r428,p290,441
r428,p419,706
r429,p166,634
r429,p176,634
r429,p443,706
r429,p46,515
r429,p462,706
r43,p204,643
r430,p1007,706
r430,p336,71
r430,p347,634
r430,p35,82
r431,p142,685
r432,p100,634
r432,p109,158
r432,p279,130
r432,p323,158
r432,p367,706
r432,p431,80
r432,p50,224
r433,p109,158
r433,p49,156
r433,p89,706
r434,p1035,695
r434,p109,158
r434,p1184,706
r434,p1185,690
r434,p1186,611
r434,p1187,643
r434,p1188,430
r434,p1189,82
r434,p184,80
r434,p277,224
r434,p312,634
r434,p506,634
r434,p818,643
r434,p853,599
r434,p854,685
r434,p855,635
r434,p923,706
r434,p925,80
r435,p451,80
r437,p116,695
r437,p120,80
r438,p363,696
r438,p436,224
r44,p1167,441
r44,p1168,563
r44,p1169,599
r44,p1170,635
r44,p1171,643
r44,p274,349
r44,p303,430
r44,p422,71
r44,p461,96
r44,p72,695
r44,p988,349
r44,p989,514
r44,p990,643
r440,p375,187
r440,p462,706
r442,p1151,643
r442,p280,156
r442,p697,643
r442,p766,430
r443,p244,634
r443,p359,441
r443,p443,706
r444,p257,696
r445,p165,514
r445,p195,156
r445,p242,706
r445,p289,643
r445,p327,635
r445,p395,156
r446,p61,130
r447,p1007,706
r447,p208,643
r449,p257,696
r449,p436,224
r450,p279,130
r450,p367,706
r451,p395,156
r452,p241,96
r452,p363,696
r455,p166,634
r455,p264,140
r455,p375,187
r455,p462,706
r456,p264,140
r456,p375,187
r456,p462,706
r458,p460,80
r459,p166,634
r459,p395,156
r459,p462,706
r459,p99,634
r460,p100,634
r461,p422,71
r461,p461,96
r462,p11,80
r462,p151,80
r463,p165,514
r463,p289,643
r464,p120,80
r464,p34,695
r466,p165,514
r467,p176,634
r469,p657,156
r47,p1039,80
r47,p1177,80
r47,p1178,430
r47,p1179,695
r47,p1180,71
r47,p1181,695
r47,p143,80
r47,p187,80
r47,p316,156
r470,p103,158
r470,p358,130
r470,p697,643
r470,p932,80
r472,p427,80
r473,p50,224
r474,p189,171
r474,p296,171
r475,p247,156
r476,p395,156
r477,p50,224
r478,p13,706
r478,p222,706
r478,p331,430
r478,p367,706
r478,p436,224
r478,p79,634
r478,p84,696
r479,p247,156
r479,p917,80
r48,p109,158
r480,p859,80
r481,p11,80
r481,p151,80
r482,p43,80
r484,p7,96
r484,p941,130
r485,p427,80
r486,p375,187
r486,p462,706
r487,p1035,695
r487,p184,80
r487,p243,643
r487,p312,634
r487,p318,634
r487,p818,643
r489,p187,80
r49,p13,706
r49,p140,441
r49,p165,514
r49,p166,634
r49,p176,634
r49,p195,156
r49,p222,706
r49,p233,515
r49,p257,696
r49,p27,515
r49,p289,643
r49,p310,634
r49,p323,158
r49,p327,635
r49,p329,706
r49,p331,430
r49,p369,643
r49,p375,187
r49,p436,224
r49,p462,706
r49,p50,224
r49,p562,685
r49,p84,696
r490,p859,80
r492,p11,80
r492,p1147,634
r492,p151,80
r493,p418,130
r494,p293,224
r495,p460,80
r496,p11,80
r496,p120,80
r496,p141,80
r496,p151,80
r497,p141,80
r497,p254,80
r497,p611,80
r497,p643,80
r497,p716,224
r497,p95,224
r498,p165,514
r499,p323,158
r5,p431,80
r50,p166,634
r50,p224,635
r50,p257,696
r50,p310,634
r50,p369,643
r500,p1152,643
r500,p1153,643
r500,p242,706
r500,p249,634
r500,p381,706
r500,p506,634
r500,p622,156
r500,p994,82
r500,p995,560
r500,p999,634
r501,p414,156
r503,p34,695
r503,p637,80
r504,p582,156
r505,p1202,695
r505,p514,515
r505,p649,80
r506,p109,158
r506,p525,80
r507,p140,441
r507,p233,515
r507,p27,515
r507,p323,158
r507,p50,224
r508,p923,706
r508,p925,80
r509,p1197,594
r509,p40,80
r509,p618,594
r51,p13,706
r51,p165,514
r51,p166,634
r51,p195,156
r51,p222,706
r51,p224,635
r51,p257,696
r51,p310,634
r51,p327,635
r51,p331,430
r51,p369,643
r51,p375,187
r51,p436,224
r51,p462,706
r51,p84,696
r510,p151,80
r510,p401,80
r510,p430,643
r510,p662,80
r512,p176,634
r512,p241,96
r512,p363,696
r515,p1486,643
r515,p460,80
r517,p11,80
r517,p151,80
r519,p427,80
r521,p27,515
r521,p323,158
r521,p50,224
r522,p1010,171
r522,p1011,706
r522,p395,156
r522,p546,224
r522,p570,706
r522,p614,706
r522,p99,634
r523,p116,695
r523,p120,80
r524,p1167,441
r524,p1168,563
r524,p1169,599
r524,p1170,635
r524,p1171,643
r524,p274,349
r524,p303,430
r524,p422,71
r524,p461,96
r524,p72,695
r524,p988,349
r524,p989,514
r524,p990,643
r525,p140,441
r525,p233,515
r525,p242,706
r525,p257,696
r525,p27,515
r525,p289,643
r525,p323,158
r525,p436,224
r525,p50,224
r527,p1067,82
r527,p187,80
r527,p316,156
r529,p1203,514
r529,p328,706
r529,p498,514
r53,p109,158
r530,p224,635
r530,p257,696
r530,p310,634
r530,p46,515
r531,p122,430
r531,p145,706
r533,p1182,430
r533,p391,706
r533,p574,80
r535,p27,515
r535,p323,158
r535,p50,224
r536,p100,634
r537,p1042,611
r537,p124,706
r538,p272,158
r538,p280,156
r538,p35,82
r538,p664,80
r538,p697,643
r538,p766,430
r539,p328,706
r540,p1203,514
r540,p510,96
r541,p328,706
r542,p242,706
r542,p331,430
r542,p436,224
r542,p49,156
r543,p186,80
r544,p367,706
r544,p431,80
r545,p279,130
r545,p367,706
r545,p431,80
r546,p266,567
r547,p1382,567
r547,p1383,634
r547,p152,80
r547,p239,643
r547,p3,224
r547,p318,634
r547,p49,156
r549,p280,156
r549,p358,130
r55,p239,643
r550,p279,130
r550,p367,706
r550,p431,80
r551,p242,706
r551,p249,634
r551,p453,634
r551,p506,634
r551,p994,82
r551,p995,560
r551,p999,634
r553,p49,156
r553,p506,634
r553,p99,634
r554,p184,80
r554,p243,643
r554,p318,634
r554,p403,430
r554,p419,706
r555,p116,695
r555,p95,224
r558,p74,80
r560,p460,80
r561,p120,80
r562,p289,643
r562,p395,156
r562,p49,156
r562,p589,80
r562,p670,80
r562,p682,80
r562,p95,224
r562,p99,634
r565,p140,441
r565,p165,514
r565,p166,634
r565,p195,156
r565,p224,635
r565,p233,515
r565,p257,696
r565,p27,515
r565,p279,130
r565,p289,643
r565,p310,634
r565,p323,158
r565,p327,635
r565,p329,706
r565,p408,156
r565,p431,80
r565,p436,224
r565,p50,224
r565,p61,130
r566,p262,706
r566,p528,695
r567,p323,158
r567,p50,224
r568,p165,514
r568,p166,634
r568,p257,696
r568,p279,130
r568,p289,643
r568,p310,634
r568,p329,706
r568,p367,706
r568,p431,80
r570,p140,441
r570,p233,515
r570,p257,696
r570,p27,515
r570,p279,130
r570,p289,643
r570,p323,158
r570,p395,156
r570,p431,80
r570,p50,224
r570,p584,643
r570,p99,634
r571,p1165,187
r571,p279,130
r571,p367,706
r572,p190,80
r573,p419,706
r574,p1162,643
r574,p1163,685
r574,p239,643
r574,p291,13
r574,p311,696
r574,p318,634
r574,p363,696
r574,p461,96
r574,p626,515
r574,p628,430
r574,p658,643
r574,p743,171
r575,p100,634
r575,p176,634
r575,p363,696
r575,p367,706
r576,p289,643
r576,p329,706
r576,p408,156
r576,p49,156
r577,p427,80
r58,p395,156
r58,p99,634
r580,p248,224
r580,p546,224
r580,p625,80
r580,p637,80
r580,p647,224
r580,p710,96
r580,p852,80
r581,p100,634
r581,p207,80
r581,p226,349
r581,p279,130
r581,p311,696
r581,p363,696
r582,p274,349
r582,p303,430
r582,p461,96
r582,p473,634
r582,p476,130
r582,p494,96
r582,p986,695
r583,p427,80
r585,p109,158
r585,p49,156
r586,p244,634
r586,p359,441
r586,p443,706
r586,p573,80
r586,p68,80
r587,p331,430
r587,p436,224
r588,p197,643
r588,p460,80
r588,p68,80
r588,p74,80
r589,p13,706
r589,p165,514
r589,p166,634
r589,p195,156
r589,p222,706
r589,p224,635
r589,p257,696
r589,p289,643
r589,p310,634
r589,p327,635
r589,p329,706
r589,p331,430
r589,p375,187
r589,p408,156
r589,p436,224
r589,p462,706
r589,p84,696
r59,p13,706
r59,p165,514
r59,p166,634
r59,p195,156
r59,p222,706
r59,p224,635
r59,p257,696
r59,p310,634
r59,p327,635
r59,p331,430
r59,p375,187
r59,p436,224
r59,p462,706
r59,p84,696
r591,p291,13
r591,p362,96
r591,p453,634
r591,p461,96
r593,p395,156
r593,p99,634
r594,p184,80
r594,p312,634
r595,p109,158
r595,p855,635
r596,p458,80
r596,p674,96
r596,p68,80
r596,p721,706
r597,p303,430
r597,p422,71
r597,p461,96
r598,p13,706
r598,p165,514
r598,p166,634
r598,p195,156
r598,p222,706
r598,p224,635
r598,p257,696
r598,p289,643
r598,p310,634
r598,p327,635
r598,p329,706
r598,p331,430
r598,p369,643
r598,p375,187
r598,p408,156
r598,p436,224
r598,p462,706
r598,p84,696
r6,p34,695
r600,p395,156
r600,p99,634
r601,p427,80
r602,p1167,441
r602,p461,96
r603,p1300,430
r604,p395,156
r604,p99,634
r607,p395,156
r607,p99,634
r608,p1167,441
r608,p1168,563
r608,p1169,599
r608,p1170,635
r608,p1171,643
r608,p303,430
r608,p461,96
r608,p72,695
r608,p988,349
r608,p989,514
r608,p990,643
r61,p184,80
r61,p198,634
r61,p312,634
r61,p461,96
r610,p859,80
r611,p49,156
r612,p425,130
r613,p571,80
r614,p219,80
r614,p363,696
r614,p436,224
r615,p460,80
r616,p7,96
r617,p13,706
r617,p140,441
r617,p165,514
r617,p166,634
r617,p176,634
r617,p195,156
r617,p222,706
r617,p233,515
r617,p257,696
r617,p27,515
r617,p289,643
r617,p310,634
r617,p323,158
r617,p327,635
r617,p329,706
r617,p331,430
r617,p369,643
r617,p375,187
r617,p408,156
r617,p436,224
r617,p462,706
r617,p50,224
r617,p562,685
r617,p84,696
r618,p27,515
r618,p323,158
r618,p424,430
r618,p917,80
r619,p139,80
r619,p17,430
r62,p427,80
r62,p49,156
r622,p436,224
r622,p46,515
r622,p50,224
r623,p245,96
r623,p3,224
r623,p41,611
r623,p460,80
r624,p291,13
r624,p362,96
r624,p453,634
r624,p461,96
r625,p13,706
r625,p140,441
r625,p165,514
r625,p166,634
r625,p176,634
r625,p195,156
r625,p222,706
r625,p233,515
r625,p257,696
r625,p27,515
r625,p289,643
r625,p310,634
r625,p323,158
r625,p327,635
r625,p329,706
r625,p331,430
r625,p369,643
r625,p375,187
r625,p436,224
r625,p462,706
r625,p50,224
r625,p562,685
r625,p84,696
r626,p40,80
r627,p224,635
r627,p257,696
r627,p279,130
r627,p310,634
r627,p431,80
r627,p467,80
r628,p923,706
r628,p925,80
r629,p139,80
r629,p17,430
r63,p103,158
r63,p136,706
r63,p280,156
r63,p547,706
r63,p697,643
r63,p7,96
r631,p561,224
r632,p114,695
r632,p251,573
r632,p259,156
r632,p484,80
r632,p485,80
r632,p486,695
r632,p487,634
r632,p488,643
r632,p524,441
r632,p8,96
r633,p156,643
r634,p460,80
r635,p498,514
r638,p114,695
r638,p14,515
r638,p19,695
r638,p209,80
r638,p259,156
r638,p496,80
r638,p497,695
r638,p86,430
r639,p1165,187
r639,p494,96
r639,p986,695
r64,p29,514
r640,p606,12
r641,p316,156
r642,p395,156
r642,p99,634
r644,p109,158
r645,p243,643
r646,p551,80
r65,p109,158
r65,p1174,706
r65,p1175,706
r65,p27,515
r65,p323,158
r65,p50,224
r651,p27,515
r651,p323,158
r651,p424,430
r652,p125,80
r653,p478,130
r653,p593,643
r653,p648,80
r653,p708,643
r655,p247,156
r655,p279,130
r655,p289,643
r655,p65,706
r656,p139,80
r656,p923,706
r657,p419,706
r659,p120,80
r659,p40,80
r659,p609,80
r66,p100,634
r66,p109,158
r66,p441,80
r660,p17,430
r660,p82,156
r661,p247,156
r662,p113,430
r662,p321,80
r662,p642,224
r662,p68,80
r662,p74,80
r663,p27,515
r663,p323,158
